timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1561733147257,4,HTTP Request,200,OK,Thread Group 1-10,text,true,,12603,118,3,3,http://127.0.0.1:9090/,4,0,0
1561733147261,5,HTTP Request,200,OK,Thread Group 1-9,text,true,,12603,118,3,3,http://127.0.0.1:9090/,5,0,0
1561733147262,5,HTTP Request,200,OK,Thread Group 1-10,text,true,,12604,118,3,3,http://127.0.0.1:9090/,5,0,0
1561733147259,9,HTTP Request,200,OK,Thread Group 1-8,text,true,,12603,118,3,3,http://127.0.0.1:9090/,9,0,1
1561733147266,4,HTTP Request,200,OK,Thread Group 1-9,text,true,,12604,118,4,4,http://127.0.0.1:9090/,4,0,0
1561733147269,6,HTTP Request,200,OK,Thread Group 1-11,text,true,,12602,118,4,4,http://127.0.0.1:9090/,6,0,0
1561733147267,8,HTTP Request,200,OK,Thread Group 1-10,text,true,,12603,118,4,4,http://127.0.0.1:9090/,8,0,0
1561733147268,7,HTTP Request,200,OK,Thread Group 1-8,text,true,,12603,118,4,4,http://127.0.0.1:9090/,7,0,0
1561733147270,6,HTTP Request,200,OK,Thread Group 1-9,text,true,,12603,118,4,4,http://127.0.0.1:9090/,6,0,0
1561733147275,3,HTTP Request,200,OK,Thread Group 1-10,text,true,,12602,118,4,4,http://127.0.0.1:9090/,3,0,0
1561733147275,3,HTTP Request,200,OK,Thread Group 1-11,text,true,,12603,118,4,4,http://127.0.0.1:9090/,3,0,0
1561733147275,8,HTTP Request,200,OK,Thread Group 1-8,text,true,,12603,118,4,4,http://127.0.0.1:9090/,8,0,0
1561733147278,7,HTTP Request,200,OK,Thread Group 1-10,text,true,,12604,118,3,3,http://127.0.0.1:9090/,7,0,0
1561733147278,7,HTTP Request,200,OK,Thread Group 1-11,text,true,,12603,118,3,3,http://127.0.0.1:9090/,7,0,0
1561733147276,10,HTTP Request,200,OK,Thread Group 1-9,text,true,,12602,118,3,3,http://127.0.0.1:9090/,10,0,0
1561733147285,4,HTTP Request,200,OK,Thread Group 1-11,text,true,,12603,118,2,2,http://127.0.0.1:9090/,4,0,0
1561733147285,4,HTTP Request,200,OK,Thread Group 1-10,text,true,,12603,118,2,2,http://127.0.0.1:9090/,4,0,0
1561733147289,4,HTTP Request,200,OK,Thread Group 1-11,text,true,,12602,118,3,3,http://127.0.0.1:9090/,4,0,1
1561733147289,4,HTTP Request,200,OK,Thread Group 1-10,text,true,,12602,118,3,3,http://127.0.0.1:9090/,4,0,1
1561733147293,4,HTTP Request,200,OK,Thread Group 1-12,text,true,,12603,118,3,3,http://127.0.0.1:9090/,4,0,0
1561733147293,4,HTTP Request,200,OK,Thread Group 1-11,text,true,,12602,118,3,3,http://127.0.0.1:9090/,4,0,0
1561733147293,6,HTTP Request,200,OK,Thread Group 1-10,text,true,,12603,118,3,3,http://127.0.0.1:9090/,6,0,0
1561733147297,4,HTTP Request,200,OK,Thread Group 1-12,text,true,,12603,118,3,3,http://127.0.0.1:9090/,4,0,0
1561733147299,5,HTTP Request,200,OK,Thread Group 1-10,text,true,,12603,118,3,3,http://127.0.0.1:9090/,5,0,1
1561733147297,7,HTTP Request,200,OK,Thread Group 1-11,text,true,,12603,118,3,3,http://127.0.0.1:9090/,7,0,0
1561733147301,5,HTTP Request,200,OK,Thread Group 1-12,text,true,,12603,118,2,2,http://127.0.0.1:9090/,5,0,1
1561733147306,5,HTTP Request,200,OK,Thread Group 1-12,text,true,,12604,118,3,3,http://127.0.0.1:9090/,5,0,0
1561733147304,7,HTTP Request,200,OK,Thread Group 1-11,text,true,,12604,118,3,3,http://127.0.0.1:9090/,7,0,0
1561733147309,6,HTTP Request,200,OK,Thread Group 1-13,text,true,,12603,118,3,3,http://127.0.0.1:9090/,6,0,0
1561733147311,5,HTTP Request,200,OK,Thread Group 1-12,text,true,,12604,118,3,3,http://127.0.0.1:9090/,5,0,0
1561733147311,5,HTTP Request,200,OK,Thread Group 1-11,text,true,,12604,118,3,3,http://127.0.0.1:9090/,5,0,0
1561733147316,4,HTTP Request,200,OK,Thread Group 1-12,text,true,,12602,118,3,3,http://127.0.0.1:9090/,4,0,0
1561733147315,6,HTTP Request,200,OK,Thread Group 1-13,text,true,,12602,118,3,3,http://127.0.0.1:9090/,6,0,0
1561733147316,5,HTTP Request,200,OK,Thread Group 1-11,text,true,,12602,118,3,3,http://127.0.0.1:9090/,5,0,0
1561733147320,5,HTTP Request,200,OK,Thread Group 1-12,text,true,,12604,118,2,2,http://127.0.0.1:9090/,5,0,0
1561733147321,6,HTTP Request,200,OK,Thread Group 1-13,text,true,,12603,118,2,2,http://127.0.0.1:9090/,6,0,0
1561733147325,4,HTTP Request,200,OK,Thread Group 1-12,text,true,,12602,118,2,2,http://127.0.0.1:9090/,4,0,0
1561733147327,5,HTTP Request,200,OK,Thread Group 1-13,text,true,,12604,118,3,3,http://127.0.0.1:9090/,5,0,0
1561733147329,4,HTTP Request,200,OK,Thread Group 1-12,text,true,,12604,118,3,3,http://127.0.0.1:9090/,4,0,0
1561733147331,5,HTTP Request,200,OK,Thread Group 1-14,text,true,,12603,118,3,3,http://127.0.0.1:9090/,5,0,0
1561733147332,5,HTTP Request,200,OK,Thread Group 1-13,text,true,,12603,118,3,3,http://127.0.0.1:9090/,5,0,0
1561733147333,9,HTTP Request,200,OK,Thread Group 1-12,text,true,,12601,118,3,3,http://127.0.0.1:9090/,9,0,1
1561733147336,7,HTTP Request,200,OK,Thread Group 1-14,text,true,,12604,118,2,2,http://127.0.0.1:9090/,7,0,0
1561733147338,8,HTTP Request,200,OK,Thread Group 1-13,text,true,,12602,118,2,2,http://127.0.0.1:9090/,8,0,0
1561733147343,4,HTTP Request,200,OK,Thread Group 1-14,text,true,,12603,118,2,2,http://127.0.0.1:9090/,4,0,0
1561733147346,5,HTTP Request,200,OK,Thread Group 1-13,text,true,,12602,118,2,2,http://127.0.0.1:9090/,5,0,0
1561733147347,5,HTTP Request,200,OK,Thread Group 1-14,text,true,,12604,118,3,3,http://127.0.0.1:9090/,5,0,1
1561733147351,4,HTTP Request,200,OK,Thread Group 1-13,text,true,,12604,118,3,3,http://127.0.0.1:9090/,4,0,0
1561733147351,4,HTTP Request,200,OK,Thread Group 1-15,text,true,,12604,118,3,3,http://127.0.0.1:9090/,4,0,0
1561733147352,6,HTTP Request,200,OK,Thread Group 1-14,text,true,,12604,118,3,3,http://127.0.0.1:9090/,6,0,1
1561733147355,4,HTTP Request,200,OK,Thread Group 1-15,text,true,,12603,118,3,3,http://127.0.0.1:9090/,4,0,0
1561733147355,4,HTTP Request,200,OK,Thread Group 1-13,text,true,,12604,118,3,3,http://127.0.0.1:9090/,4,0,0
1561733147358,4,HTTP Request,200,OK,Thread Group 1-14,text,true,,12602,118,3,3,http://127.0.0.1:9090/,4,0,0
1561733147359,3,HTTP Request,200,OK,Thread Group 1-15,text,true,,12604,118,3,3,http://127.0.0.1:9090/,3,0,0
1561733147359,5,HTTP Request,200,OK,Thread Group 1-13,text,true,,12603,118,3,3,http://127.0.0.1:9090/,5,0,0
1561733147362,5,HTTP Request,200,OK,Thread Group 1-14,text,true,,12603,118,2,2,http://127.0.0.1:9090/,5,0,0
1561733147362,7,HTTP Request,200,OK,Thread Group 1-15,text,true,,12604,118,2,2,http://127.0.0.1:9090/,7,0,0
1561733147367,4,HTTP Request,200,OK,Thread Group 1-14,text,true,,12602,118,3,3,http://127.0.0.1:9090/,4,0,0
1561733147369,5,HTTP Request,200,OK,Thread Group 1-15,text,true,,12603,118,3,3,http://127.0.0.1:9090/,5,0,0
1561733147370,4,HTTP Request,200,OK,Thread Group 1-16,text,true,,12603,118,3,3,http://127.0.0.1:9090/,4,0,0
1561733147371,5,HTTP Request,200,OK,Thread Group 1-14,text,true,,12602,118,3,3,http://127.0.0.1:9090/,5,0,1
1561733147374,4,HTTP Request,200,OK,Thread Group 1-16,text,true,,12602,118,3,3,http://127.0.0.1:9090/,4,0,0
1561733147374,5,HTTP Request,200,OK,Thread Group 1-15,text,true,,12604,118,3,3,http://127.0.0.1:9090/,5,0,0
1561733147376,4,HTTP Request,200,OK,Thread Group 1-14,text,true,,12603,118,3,3,http://127.0.0.1:9090/,4,0,0
1561733147379,4,HTTP Request,200,OK,Thread Group 1-15,text,true,,12603,118,2,2,http://127.0.0.1:9090/,4,0,0
1561733147378,7,HTTP Request,200,OK,Thread Group 1-16,text,true,,12603,118,2,2,http://127.0.0.1:9090/,7,0,0
1561733147383,5,HTTP Request,200,OK,Thread Group 1-15,text,true,,12602,118,2,2,http://127.0.0.1:9090/,5,0,0
1561733147385,4,HTTP Request,200,OK,Thread Group 1-16,text,true,,12602,118,2,2,http://127.0.0.1:9090/,4,0,0
1561733147390,3,HTTP Request,200,OK,Thread Group 1-17,text,true,,12602,118,3,3,http://127.0.0.1:9090/,3,0,0
1561733147389,4,HTTP Request,200,OK,Thread Group 1-15,text,true,,12603,118,3,3,http://127.0.0.1:9090/,4,0,0
1561733147389,5,HTTP Request,200,OK,Thread Group 1-16,text,true,,12602,118,3,3,http://127.0.0.1:9090/,5,0,0
1561733147393,4,HTTP Request,200,OK,Thread Group 1-17,text,true,,12603,118,3,3,http://127.0.0.1:9090/,4,0,0
1561733147393,5,HTTP Request,200,OK,Thread Group 1-15,text,true,,12604,118,3,3,http://127.0.0.1:9090/,5,0,1
